,ID,제품명,와이너리,종류,평점,가격,노트,노트2,상세
102,16730165,Payen 2011,Tabali,Red wine,4.3,104488,,,https://www.vivino.com/tabali-payen/w/1246501?year=2011&price_id=16730165
103,14650514,Rayner Vineyard Shiraz 2003,Brokenwood,Red wine,4.3,76949,,,https://www.vivino.com/au-brokenwood-rayner-vineyard-shiraz/w/31324?year=2003&price_id=14650514
104,2754462,Supremo 2008,Finca La Celia,Red wine,4.3,108538,,,https://www.vivino.com/finca-la-celia-mendoza-supremo/w/57164?year=2008&price_id=2754462
105,2754481,Brunello di Montalcino 2001,Fattoria dei Barbi,Red wine,4.3,85049,,,https://www.vivino.com/fattoria-dei-barbi-brunello-di-montalcino/w/54214?year=2001&price_id=2754481
106,28635608,Baronesa P. 2018,Baron Philippe de Rothschild,Red wine,4.3,99223,,,https://www.vivino.com/baron-philippe-de-rothschild-sa-baronesa-p/w/8717238?year=2018&price_id=28635608
107,2894953,Castillo Ygay Gran Reserva Especial Tinto 1995,Marqués de Murrieta,Red wine,4.3,117448,,,https://www.vivino.com/marques-de-murrieta-castillo-ygay-gran-reserva-especial-tinto/w/11001?year=1995&price_id=2894953
108,19070154,Corte di Cama Sforzato di Valtellina 2014,Mamete Prevostini,Red wine,4.3,127573,,,https://www.vivino.com/mamete-prevostini-corte-di-cama-sforzato-di-valtellina/w/75712?year=2014&price_id=19070154
109,32845881,Breakneck Reserve Pinot Noir 2021,Amisfield,Red wine,4.3,64576,,,https://www.vivino.com/amisfield-breakneck-reserve-pinot-noir/w/6902623?year=2021&price_id=32845881
110,34188162,Cork Tree Vineyard Red 2020,Paraduxx,Red wine,4.3,114283,,,https://www.vivino.com/paraduxx-cork-tree-vineyard-red-napa-valley/w/4942782?year=2020&price_id=34188162
111,14550142,Mingre Assemblage Premium 2004,J. Bouchon,Red wine,4.3,72899,,,https://www.vivino.com/j-bouchon-mingre-assemblage-premium/w/5107652?year=2004&price_id=14550142
112,14650426,Evenstad Reserve Pinot Noir 2006,Domaine Serene,Red wine,4.3,129193,,,https://www.vivino.com/domaine-serene-evenstad-reserve-pinot-noir/w/1882725?year=2006&price_id=14650426
